filename,age,gender,dominant_gender,error
id31_715.jpg,35.0,"{'Woman': 20.55400311946869, 'Man': 79.44599390029907}",Man,
id5_134.jpg,28.0,"{'Woman': 8.67101401090622, 'Man': 91.32897853851318}",Man,
id90_2421.jpg,34.0,"{'Woman': 15.372925996780396, 'Man': 84.6270740032196}",Man,
id118_3046.jpg,31.0,"{'Woman': 37.882351875305176, 'Man': 62.117648124694824}",Man,
id5_78.jpg,36.0,"{'Woman': 4.451680928468704, 'Man': 95.54831385612488}",Man,
id79_2077.jpg,31.0,"{'Woman': 10.949339717626572, 'Man': 89.05066251754761}",Man,
id69_1867.jpg,34.0,"{'Woman': 11.433404684066772, 'Man': 88.56659531593323}",Man,
id101_2659.jpg,29.0,"{'Woman': 7.97409862279892, 'Man': 92.02589988708496}",Man,
id1_12.jpg,29.0,"{'Woman': 2.1803341805934906, 'Man': 97.81966805458069}",Man,
id60_1575.jpg,30.0,"{'Woman': 2.6857277378439903, 'Man': 97.31427431106567}",Man,
id125_3270.jpg,23.0,"{'Woman': 2.9743798077106476, 'Man': 97.02562093734741}",Man,
id1_181.jpg,25.0,"{'Woman': 92.66810417175293, 'Man': 7.331894338130951}",Woman,
id42_1055.jpg,30.0,"{'Woman': 18.11302751302719, 'Man': 81.88697099685669}",Man,
id23_347.jpg,27.0,"{'Woman': 1.061112154275179, 'Man': 98.93888831138611}",Man,
id122_3170.jpg,31.0,"{'Woman': 67.67684817314148, 'Man': 32.323157787323}",Woman,
id25_430.jpg,,,,'tuple' object has no attribute 'shape'
id38_860.jpg,34.0,"{'Woman': 8.548417687416077, 'Man': 91.4515733718872}",Man,
id110_2764.jpg,25.0,"{'Woman': 4.869145154953003, 'Man': 95.13084888458252}",Man,
id2_48.jpg,26.0,"{'Woman': 6.2880635261535645, 'Man': 93.71193647384644}",Man,
id123_3173.jpg,39.0,"{'Woman': 44.88784968852997, 'Man': 55.11214733123779}",Man,
id5_158.jpg,23.0,"{'Woman': 5.325614660978317, 'Man': 94.67438459396362}",Man,
id1_61.jpg,33.0,"{'Woman': 11.989463865756989, 'Man': 88.01053762435913}",Man,
id5_135.jpg,30.0,"{'Woman': 4.231363534927368, 'Man': 95.76864242553711}",Man,
id92_2406.jpg,33.0,"{'Woman': 28.47740352153778, 'Man': 71.52259945869446}",Man,
id121_3313.jpg,25.0,"{'Woman': 4.110131040215492, 'Man': 95.88987231254578}",Man,
id47_1142.jpg,31.0,"{'Woman': 19.63387131690979, 'Man': 80.36612272262573}",Man,
id90_2383.jpg,31.0,"{'Woman': 8.539523929357529, 'Man': 91.46047830581665}",Man,
id59_1557.jpg,,,,'tuple' object has no attribute 'shape'
id45_1081.jpg,,,,'tuple' object has no attribute 'shape'
id42_982.jpg,31.0,"{'Woman': 11.299004405736923, 'Man': 88.70099186897278}",Man,
id115_2879.jpg,36.0,"{'Woman': 21.96410298347473, 'Man': 78.03590297698975}",Man,
id103_2729.jpg,26.0,"{'Woman': 32.26379752159119, 'Man': 67.73619651794434}",Man,
id36_977.jpg,38.0,"{'Woman': 19.24293339252472, 'Man': 80.75706958770752}",Man,
id113_2783.jpg,31.0,"{'Woman': 23.142023384571075, 'Man': 76.85797214508057}",Man,
id106_2677.jpg,29.0,"{'Woman': 5.717340856790543, 'Man': 94.28265690803528}",Man,
id54_1675.jpg,26.0,"{'Woman': 1.5180977061390877, 'Man': 98.48190546035767}",Man,
id108_2826.jpg,31.0,"{'Woman': 11.14557459950447, 'Man': 88.85442614555359}",Man,
id90_2381.jpg,29.0,"{'Woman': 8.995217829942703, 'Man': 91.00478291511536}",Man,
